sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
善化,臺南市,42,,良好,1.4,0.28,17.7,21.7,20,16,13.2,14,0.7,2.7,358,"2022/12/15 01:00:00",0.2,13,27,1,120.29740529,23.11337642,44
安南,臺南市,48,,良好,1.4,0.44,16.6,21.4,29,13,11.8,12.2,0.4,2.1,357,"2022/12/15 01:00:00",0.3,14,34,1,120.2175,23.048197,45
臺南,臺南市,57,細懸浮微粒,普通,1.1,0.49,17.7,20.5,32,14,15.3,17,1.6,1,64,"2022/12/15 01:00:00",0.5,17,34,0,120.22238056,22.98525833,46
美濃,高雄市,62,細懸浮微粒,普通,,0.31,12.6,20.1,36,18,,,,1,244,"2022/12/15 01:00:00",0.3,19,34,1,120.530542,22.883583,47
橋頭,高雄市,65,細懸浮微粒,普通,1.4,0.38,10.7,17.9,38,21,21.3,22.3,1,1.8,16,"2022/12/15 01:00:00",0.3,21,45,1,120.305689,22.757506,48
仁武,高雄市,61,細懸浮微粒,普通,2.2,0.37,8.4,14.9,31,21,22.3,23.2,0.8,3.1,349,"2022/12/15 01:00:00",0.4,19,37,2,120.332631,22.689056,49
鳳山,高雄市,74,細懸浮微粒,普通,2.1,0.41,5.3,10.4,38,21,26,27.4,1.4,0.8,273,"2022/12/15 01:00:00",0.6,25,43,1,120.357422,22.628126,50
大寮,高雄市,68,細懸浮微粒,普通,1.8,0.34,11.7,15.9,38,20,18.5,18.7,0.2,1.5,330,"2022/12/15 01:00:00",0.4,22,45,2,120.425311,22.56413611,51
林園,高雄市,66,細懸浮微粒,普通,2.8,0.43,5.3,11.2,46,19,28.4,30.2,1.7,0.9,26,"2022/12/15 01:00:00",0.5,21,56,2,120.41175,22.4795,52
楠梓,高雄市,54,細懸浮微粒,普通,1.7,0.36,9.4,17.2,32,16,22.2,23.5,1.2,1.7,25,"2022/12/15 01:00:00",0.3,16,43,1,120.328289,22.733667,53
左營,高雄市,63,細懸浮微粒,普通,1.8,0.41,8.1,18.1,37,19,24.4,24.8,0.4,2.3,3,"2022/12/15 01:00:00",0.4,20,44,2,120.292917,22.674861,54
前金,高雄市,65,細懸浮微粒,普通,1.9,0.43,8.7,18.5,38,16,25.5,26.5,1,2.3,0,"2022/12/15 01:00:00",0.4,21,45,1,120.28676111,22.63390278,56
前鎮,高雄市,74,細懸浮微粒,普通,3.3,0.47,9.2,14.4,46,23,22.1,24,1.9,1.6,355,"2022/12/15 01:00:00",0.5,24,52,2,120.30833356,22.6044507,57
小港,高雄市,70,細懸浮微粒,普通,1.6,0.41,8.7,14.5,48,19,24.2,25.6,1.4,1.5,342,"2022/12/15 01:00:00",0.5,23,49,1,120.337736,22.565833,58
屏東,屏東縣,71,細懸浮微粒,普通,0.9,0.36,13.3,19.9,44,25,15.3,15.8,0.4,1.2,273,"2022/12/15 01:00:00",0.4,23,43,1,120.488033,22.673081,59
潮州,屏東縣,91,細懸浮微粒,普通,1,0.39,12,19.7,66,26,17.6,18.5,0.9,0.2,347,"2022/12/15 01:00:00",0.4,31,60,1,120.561175,22.523108,60
恆春,屏東縣,43,,良好,0.5,0.19,42.8,46.6,4,0,,,,,,"2022/12/15 01:00:00",0.1,0,5,0,120.788928,21.958069,61
臺東,臺東縣,31,,良好,0.7,0.19,32.3,34.3,2,1,3.2,4.3,1.1,2,322,"2022/12/15 01:00:00",0.2,1,6,0,121.15045,22.755358,62
花蓮,花蓮縣,20,,良好,0.6,0.27,18.5,22.9,18,3,9.5,10.2,0.7,1.1,303,"2022/12/15 01:00:00",0.3,4,13,0,121.599769,23.971306,63
陽明,臺北市,36,,良好,1.1,0.16,39.6,39.9,2,0,0.9,1.5,0.6,,,"2022/12/15 01:00:00",0.1,0,5,0,121.529583,25.182722,64
宜蘭,宜蘭縣,30,,良好,0.6,0.16,32.6,32.4,2,2,3.4,3.2,0,0.5,192,"2022/12/15 01:00:00",0.2,3,3,0,121.746394,24.747917,65
冬山,宜蘭縣,28,,良好,0.4,0.19,32.1,30.6,,1,1.5,1.7,0.2,1.3,299,"2022/12/15 01:00:00",0.2,0,4,0,121.792928,24.632203,66
三重,新北市,27,,良好,0.3,0.47,23.5,16.1,3,3,16.2,26.6,10.4,-,-,"2022/12/15 01:00:00",0.8,6,12,0,121.493806,25.072611,67
中壢,桃園市,23,,良好,1.5,0.26,25.9,21.1,10,4,10,12.3,2.2,0.3,359,"2022/12/15 01:00:00",0.6,7,16,1,121.221667,24.953278,68
竹山,南投縣,44,,良好,1.5,0.33,11.7,14.8,29,15,15.4,15.9,0.4,0.8,335,"2022/12/15 01:00:00",0.3,13,27,1,120.677306,23.756389,69
永和,新北市,27,,良好,0.3,0.22,32.8,29,6,4,5.1,6.3,1.1,2.1,95,"2022/12/15 01:00:00",0.3,6,10,0,121.516306,25.017,70
